my music
200

C1 C
C1# C
D1 C
E1 C
F1 C
F1# C
G1 C
G1# C
A1 C
A1 C
A1# C
B1 C
C2 C
C2# C
D2 C
D2# C
E2 C
F2 C
F2# C
G2 C
G2# C
A2 C
A2# C
B2 C
C3 C
C3# C
D3 C
D3# C
E3 C
F3 C
F3# C
G3 C
G3# C
A3 C
A3# C
B3 C
C4 C
C4# C
D4 C
D4# C
E4 C
F4 C
F4# C
G4 C
G4# C
A4 C
A4# C
B4 C
C5 C
C5# C
D5 C
D5# C
E5 C
F5 C
F5# C
G5 C
G5# C
A5 C
A5# C
B5 C
A5# C
A5 C
G5# C
G5 C
F5# C
F5 C
E5 C
D5# C
D5 C
C5# C
C5 C
B4 C
A4# C
A4 C
G4# C
G4 C
F4# C
F4 C
E4 C
D4# C
D4 C
C4# C
C4 C
B3 C
A3# C
A3 C
G3# C
G3 C
F3# C
F3 C
E3 C
D3# C
D3 C
C3# C
C3 C
B2 C
A2# C
A2 C
G2# C
G2 C
F2# C
F2 C
E2 C
D2# C
D2 C
C2# C
C2 C
B1 C
A1# C
A1 C
A1 C
G1# C
G1 C
F1# C
F1 C
E1 C
D1 C
C1# C
C1 C
